@relation data
@attribute WMC numeric
@attribute DIT numeric
@attribute NOC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute NPM numeric
@attribute LOC numeric
@attribute class {'1','2'}
@data
4,0,2,1,4,0,4,7,'1'
5,1,4,9,17,80,5,133,'2'
3,6,0,26,630,46,1,465,'2'
2,1,0,14,14,50,1,82,'2'
4,1,0,15,16,25,4,61,'2'
4,1,0,3,16,0,4,17,'1'
5,2,0,17,75,51,3,92,'2'
1,1,0,8,13,0,1,30,'2'
4,2,0,4,24,33,0,25,'1'
3,0,6,0,3,100,0,6,'1'
6,1,0,5,18,62,5,45,'1'
3,2,0,5,23,33,0,28,'1'
5,2,0,5,25,72,0,91,'1'
5,3,0,5,36,70,5,54,'1'
4,1,0,1,16,0,3,18,'1'
4,3,0,5,41,91,3,37,'1'
5,1,0,5,17,60,3,91,'1'
3,2,0,5,23,16,0,43,'1'
8,1,0,5,20,96,8,177,'1'
4,1,0,0,16,0,3,18,'1'
3,3,0,3,69,0,3,15,'1'
5,3,0,5,38,70,5,54,'1'
3,2,0,4,23,0,0,37,'1'
3,2,0,5,23,33,0,38,'1'
5,2,0,7,25,9,0,72,'1'
3,2,0,3,23,0,0,11,'1'
5,2,0,5,25,30,0,38,'1'
5,1,0,5,17,62,3,83,'1'
4,1,0,1,16,16,3,20,'1'
3,2,0,3,23,33,0,25,'1'
4,2,0,3,24,50,0,25,'1'
14,1,0,6,26,65,10,104,'1'
7,2,0,5,27,46,0,123,'1'
8,1,13,3,20,75,0,35,'1'
46,2,1,34,66,95,26,666,'1'
2,2,0,12,33,0,1,75,'1'
6,0,1,3,6,0,6,8,'1'
2,2,0,13,33,0,1,32,'1'
12,1,0,4,24,48,0,80,'1'
2,2,0,7,33,100,1,24,'1'
3,2,0,9,34,58,2,49,'1'
2,2,0,6,33,66,1,16,'1'
4,2,0,10,35,0,2,67,'1'
4,2,0,9,26,75,2,70,'1'
2,2,0,5,33,0,1,12,'1'
